Id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Expected
1,1,12,2/25/2011,17,48.55,211147488,42.08,-10.2796,327.4089238,-1.04505,0.187441,42.68
2,1,7,3/18/2011,61,103.97,56186791,97.98,3.67084,28.6517076,2.81148,0.710117,102.80
3,2,15,5/20/2011,6,66.79,53385097,65.28,-1.08417,-19.16309141,2.42368,0.867712,65.69
4,1,23,3/25/2011,47,20.50,215914627,19.74,0.147638,-52.82003856,-0.195886,0.982801,20.35
5,1,20,1/14/2011,33,88.80,11585909,85.70,2.80047,-28.33571092,1.65073,0.624291,88.10
6,1,28,1/28/2011,40,57.90,69546259,55.30,2.36505,31.19513006,-0.744021,0.652557,56.70
7,2,28,5/27/2011,75,55.50,35560853,54.10,-0.364299,-37.27784658,-2.22303,0.676417,54.70
8,2,3,6/17/2011,54,75.51,25381159,72.69,1.50561,36.64543035,-3.65062,0.566343,74.16
9,2,28,4/1/2011,40,52.74,44519431,51.89,-0.344102,-16.60713204,0.439686,0.709764,52.13
10,1,15,3/25/2011,62,59.16,47498000,58.50,0.528379,-33.77005294,0.8647,0.966429,58.98
11,1,25,1/14/2011,53,54.84,14820631,52.96,2.84262,-25.93430373,0.695716,0.658979,54.63
12,1,8,2/11/2011,0,54.75,37155830,52.51,3.72482,19.58756841,2.8288,0.751191,54.58
13,2,17,4/8/2011,81,31.88,34314135,31.35,-0.126143,-11.46962324,5.13709,0.915693,31.67
14,1,1,3/4/2011,69,16.94,109493077,16.13,-1.36823,-17.66315005,-3.31725,0.180941,16.58
15,1,7,1/7/2011,38,92.48,35556288,90.27,-0.512765,,2.06707,0.78956,91.19
16,1,2,1/7/2011,89,45.60,45102042,43.11,2.44804,,4.63801,0.405771,44.36
17,2,3,6/24/2011,47,75.02,30675314,70.29,-3.65062,20.85860224,3.96137,0.589391,71.26
18,2,5,4/1/2011,19,113.59,28116391,108.61,3.26821,-25.69164534,-3.45495,0.388967,113.12
19,1,3,1/7/2011,33,70.10,36258120,66.00,4.88284,,0.93633,0.605362,69.38
20,2,4,5/6/2011,26,12.71,577232010,12.20,-0.404531,3.533762368,-2.85016,0.0812348,12.31
21,2,30,5/20/2011,47,31.77,102539987,30.90,0,10.82577404,0.935484,1.37292,31.32
22,2,21,5/13/2011,31,37.30,59693542,36.10,2.68624,-27.91542263,0,1.02481,37.08
23,1,22,2/25/2011,81,27.10,238628349,26.43,-0.85885,4.242697988,-2.77257,0.602637,26.55
24,1,20,3/25/2011,54,92.98,14970403,90.17,2.21558,-36.65554692,0.768232,0.596077,92.27
25,1,8,2/18/2011,82,55.98,27705910,53.80,2.8288,-25.43320927,-1.60146,0.732404,55.98
26,2,7,5/20/2011,89,104.53,39951901,99.61,0.529256,-7.311537478,2.05676,0.711709,102.57
27,1,8,3/25/2011,47,54.64,24464568,52.89,0.557621,-38.49972579,1.99593,0.757856,54.10
28,2,28,5/20/2011,82,56.47,56695842,54.95,-0.575436,32.93498527,-0.364299,0.669199,55.29
29,2,10,5/20/2011,27,20.05,228297982,19.41,-1.15869,16.8069979,0.621118,0.713558,19.62
30,2,12,5/20/2011,24,40.34,217523955,35.91,-10.4975,242.5641043,3.87858,0.361312,35.98
31,2,20,5/13/2011,5,97.18,15657591,94.44,0.745016,-8.066837824,-2.07243,0.572857,96.01
32,1,25,1/28/2011,39,57.78,26595621,54.97,1.21509,95.11061072,2.86687,0.645046,55.81
33,1,30,3/18/2011,19,28.42,153806769,27.27,-1.34181,10.53048756,0.278067,1.53901,27.94
34,2,9,5/6/2011,217,43.79,35369886,42.30,-0.943179,17.42174871,-4.15512,0.928936,43.06
35,1,23,2/25/2011,75,19.13,177077740,18.67,-0.105932,15.6210649,3.7467,1.06045,18.86
36,2,15,6/10/2011,77,67.28,52231924,65.18,0.333991,10.1335008,-0.0452352,0.86246,66.09
